知識教育類,"阿滴英文
https://www.youtube.com/channel/UCeo3JwE3HezUWFdVcehQk9Q",269萬,阿滴、都省瑞,"https://www.facebook.com/RayDuEnglish
https://www.instagram.com/rayduenglish/",✓
,"啾啾鞋
https://www.youtube.com/c/chuchushoeTW",150萬,啾啾鞋,"https://www.facebook.com/chuchushoeTW
https://www.instagram.com/chuchushoetw/",
,"亮生活 / Bright Side
https://www.youtube.com/channel/UCCtTgzGzQSWVzCG0xR7U-MQ",144萬,亮生活,無,
,"理科太太
https://www.youtube.com/c/liketaitai",111萬,理科太太、陳映彤,https://www.facebook.com/liketaitai,✓
,"Taiwan Bar
https://www.youtube.com/c/TaiwanBar",105萬,Taiwan Bar、台灣吧,https://www.facebook.com/taiwanbarstudio,
,"那些電影教我的事 Lessons from Movies
https://www.youtube.com/channel/UCt8mg-YL_ikTAJKuZ8GMtqg",92萬,那些電影教我的事 Lessons from Movies,https://www.facebook.com/lessonsfrommovies,
,"志祺七七 X 圖文不符
https://www.youtube.com/channel/UCiWXd0nmBjlKROwzMyPV-Nw",90.3萬,志祺,https://www.facebook.com/profile.php?id=100044536411998,
,"柴鼠兄弟 ZRBros
https://www.youtube.com/c/%E6%9F%B4%E9%BC%A0%E5%85%84%E5%BC%9FZRBros",88萬,柴鼠兄弟,https://www.facebook.com/zrbros,
,"許伯&簡芝—倉鼠人
https://www.youtube.com/c/g8046000",85.9萬,許伯&簡芝－倉鼠人、許伯、簡芝、倉鼠人,https://www.facebook.com/f8046000,
,"Cheap
https://www.youtube.com/c/cheapaoe",83.2萬,cheap,https://www.facebook.com/cheapAOE,
,"窮奢極慾
https://www.youtube.com/channel/UCA0o60mhG0v2Eha8wSL3_Jw",74萬,窮奢極慾,無,
,"三個字SunGuts
https://www.youtube.com/user/ray123822",70.2萬,三個字SunGuts,https://www.facebook.com/SunGuts,
,"維思維WeisWay
https://www.youtube.com/channel/UCcU6CC2Gkc18aBUfEtdjaAA",68.6萬,維思維、WeisWay,https://www.facebook.com/weisway18,
,"營養健身葛格Peeta
https://www.youtube.com/channel/UCSSjn1X6yMBC3AyJ2azeG7A",65.9萬,Peeta、葛格,https://www.facebook.com/peetafitta,
,"蒼藍鴿的醫學天地
https://www.youtube.com/channel/UCUn77_F5A65HViL9OEvIpLw",62.8萬,蒼藍鴿、蒼藍教主,https://www.facebook.com/search/top?q=%E8%92%BC%E8%97%8D%E9%B4%BF%E7%9A%84%E9%86%AB%E5%AD%B8%E5%A4%A9%E5%9C%B0,
,"SKIMMY 你的網路閨蜜
https://www.youtube.com/channel/UCPQHNRYnByAjrvNrp4jTnug",54.2萬,skimmy你的網路閨密、skimmy,https://www.facebook.com/skimmy.unlimited,
,"劉芒
https://www.youtube.com/c/%E5%8A%89%E8%8A%92lioumonn",53.1萬,劉芒,https://www.facebook.com/lioumonn,✓
,"Dr. Ivan 6
https://www.youtube.com/c/DrIvan6",50.6萬,Dr.Ivan,https://www.facebook.com/Dr.6.skin.care,✓
,"冏冏電台
https://www.youtube.com/c/%E5%86%8F%E6%98%9F%E4%BA%BAkyontw",46.7萬,冏冏電台、冏冏子、冏星人、冏冏,https://www.facebook.com/yue526828,
,"超級歪SuperY
https://www.youtube.com/c/superycinema",33.7萬,超級歪,https://www.facebook.com/Mr.SuperY,
,"快樂大學Happiness University
https://www.youtube.com/c/HappinessUniversity%E5%BF%AB%E6%A8%82%E5%A4%A7%E5%AD%B8",32萬,快樂大學,https://www.facebook.com/happinessuniasia,
,"昆蟲擾西吳沁婕Dee the bugbuff
https://www.youtube.com/channel/UCuxxVUm7UN0lb1OOY8Ex4mg",31.5萬,昆蟲擾西吳沁婕、昆蟲擾西、吳沁婕,https://www.facebook.com/morethandee,
,"好味營養師品瑄
https://www.youtube.com/channel/UCLwFOT4tHGaK9kqXXExhPFQ",29萬,好味營養師、品瑄、品瑄營養師,https://www.facebook.com/dietitian.pink,
,"飽妮
https://www.youtube.com/c/%E9%A3%BD%E5%A6%AE",26.2萬,飽妮,https://www.facebook.com/movieandprejudice,
,"啟點文化
https://www.youtube.com/c/koobforbooks",24.6萬,啟點文化,https://www.facebook.com/turnkey83,
,"英文易開罐
https://www.youtube.com/channel/UCS2bWZxE_4rW4nAZai2vDAg",21.4萬,英文易開罐,https://www.facebook.com/pblearnenglish,
,"講日文的台灣女生 Tiffany
https://www.youtube.com/channel/UCiQ4DB-7pv-fZgRoLO6sjsw",17萬,講日文的台灣女生Tiffany、講日文的台灣女生,https://www.facebook.com/TiffanySpeaksJapanese,
,"胃酸人 위산맨
https://www.youtube.com/channel/UCxkUSmWF4SPBD8uKSklAnJA",16.2萬,胃酸人,https://www.facebook.com/waysunman,
,"GARY G腿講NBA故事
https://www.youtube.com/channel/UCIHHc6ThtustbHHg7hZC1Sg",12.8萬,GARY G腿講NBA故事,https://www.facebook.com/profile.php?id=100035972066426,
插畫圖文類,"Onion Man
https://www.youtube.com/channel/UCzxN4G3s9uR9ao5_O5DoXmA",116萬,Onion Man、洋蔥,https://www.facebook.com/onionman4704,
,"蛋哥超有事
https://www.youtube.com/c/%E8%9B%8B%E5%93%A5%E8%B6%85%E6%9C%89%E4%BA%8B",88.1萬,蛋哥,https://www.facebook.com/eggthings,
,"微疼
https://www.youtube.com/channel/UCGPlcnciT5KXLgVjLumGQgQ",77.5萬,微疼、我得了一種吃菜就會死的病-微疼,https://www.facebook.com/howbegin2010,
,"阿啾小劇場
https://www.youtube.com/c/%E9%98%BF%E5%95%BE%E5%B0%8F%E5%8A%87%E5%A0%B4",74.3萬,阿啾、阿啾小劇場、阿啾繪圖同萌,https://www.facebook.com/achuxdogko/,
,"鹿人與泥鰍小劇場
https://www.youtube.com/channel/UClE9_aBRzxYdg59Ub3zL_zQ",55.4萬,鹿人、泥鰍,無,
,"啾啾妹
https://www.youtube.com/c/CHUCHUMEI520",43.6萬,啾啾妹,https://www.facebook.com/chuchumei.byLIIN,
,"霸軒與小美 Baxuan & Mei
https://www.youtube.com/c/%E9%9C%B8%E8%BB%92%E8%88%87%E5%B0%8F%E7%BE%8EBaxuanMei",40.9萬,霸軒與小美 Baxuan & Mei、霸軒,https://www.facebook.com/baxuan.mei,
,"DeluCat迪鹿
https://www.youtube.com/c/DeluCats/about",39.9萬,DeluCat迪鹿、迪鹿,https://www.facebook.com/DeluCatTaiwan/,
,"BugCat Capoo
https://www.youtube.com/c/BugCatCapoo",34.2萬,BugCat、Capoo、貓貓蟲咖波,https://www.facebook.com/capoocat,
,"囂搞
https://www.youtube.com/c/Shaogao",29萬,囂搞、Shaogao,https://www.facebook.com/Shaogao,
,"CFABC 鵝肉麵
https://www.youtube.com/channel/UCAsJVaqMX97EU8SOhtaKXgw",18萬,CFABC 鵝肉麵、鹽酥的鵝肉麵,https://www.facebook.com/crispyfriedabc,
