Source,Title,Link,Date,Summary,Text,Like
ettoday,蕾菈驚曝「動全麻手術」喉嚨壞了！激帥現身尾牙：沒人發現我身上的秘密,https://www.ettoday.net/news/20211216/2147858.htm,2021-12-16 16:33,YouTuber蕾菈（Lyla）是「反骨男孩」成員之一，自然不做作的個性深獲不少人喜愛，但令粉絲擔心的是，她15日發文坦言最近身體狀況欠佳，「在容許我休個幾天假，下一次發文希望就是揭曉我的秘密，雖然有些小可愛已經猜到了。」此話一出，立刻引起網友猜測她是否真的動了一直掛在嘴上的隆乳手術。(影劇 / 2021-12-16 16:33),,0
ettoday,阿滴羞穿白婚紗！他裸身「公主抱」學邱澤、許瑋甯放閃：我們結合了,https://www.ettoday.net/news/20211216/2147246.htm,2021-12-16 00:03,YouTuber阿滴與妹妹滴妹一起拍影片教英文，於2019年11月突破200萬訂閱，成為台灣具有影響力的網紅之一，近日他在萬豪酒店盛大舉辦「台灣創作者協會」的尾牙，作為2021年最後的派對，現場還有獎金抽獎，集結大批知名YouTuber，包含反骨男孩成員、黃大謙、Hook等人，他甚至穿上誇張白紗扮女裝，反差的模樣曝光後，引起許多網友熱議。(影劇 / 2021-12-16 00:03),,0
ettoday,江宏傑兒女突親臉頰「爸爸我好愛你」 他主動視訊福原愛：畢竟還是媽,https://www.ettoday.net/news/20211213/2145289.htm,2021-12-13 16:19,江宏傑（小傑）、黃子佼（佼佼）與王思佳今（13日）出席媽媽寶寶頒獎典禮，擔任頒獎人。育有1子1女的江宏傑透露因小孩有異位性皮膚炎，平時都會注意寶寶用品，對於各品牌很了解，「沒有一定是媽媽或爸爸要做的事情。」與福原愛離婚後，小傑不覺得一手照顧孩子是「父代母職」，也透露兒女這段時間的貼心舉動，「我女兒跟兒子有時會突然沒原因，過來親我說『爸爸我好愛你』。」(影劇 / 2021-12-13 16:19),,0
ettoday,蕾菈突拋「結婚宣言」震撼彈！ 認定DJ男友：只要他敢娶，我就敢嫁,https://www.ettoday.net/news/20211212/2144525.htm,2021-12-12 15:07,YouTuber蕾菈（Lyla）是「反骨男孩」成員之一，自然、不做作的個性深獲不少粉絲喜愛，日前大方認愛DJ湯宇，兩人目前穩定交往中，日前她模仿邱澤和許瑋甯的閃婚照發文，卻反被諷刺「不看好你們」，她霸氣炫耀放閃，更宣告：「只要他敢娶，我就敢嫁！」(影劇 / 2021-12-12 15:07),,0
ettoday,蕾菈模仿許瑋甯放閃湯宇！ 遭酸民飆粗話「哪比得上人家」高EQ反擊,https://www.ettoday.net/news/20211211/2144197.htm,2021-12-11 22:33,YouTuber蕾菈（Lyla）是「反骨男孩」成員之一，擁有中東混血基因，已經是一個孩子的媽了，依然擁有火辣身材，加上自然、不做作的個性深獲不少粉絲喜愛，日前大方認愛DJ湯宇，兩人目前穩定交往中，由於許瑋甯和邱澤在10日驚喜宣布結婚，小倆口也模仿偶像的閃婚照發文，怎料卻引來許多酸民嘲諷，引起熱議。(影劇 / 2021-12-11 22:33),,0
ettoday,女星老公「204斷食」痛到衝急診！1個月速瘦6kg出事：好險早發現,https://www.ettoday.net/news/20211210/2143600.htm,2021-12-10 21:57,日本女星大久保麻梨子來台發展多年，2016年跟台灣老公Jerry結婚，過著甜蜜的婚姻生活。但她9日憂心透露，老公因為身體不適掛急診，發現胃發炎且有了小小的結石，原因可能是減肥方式不當，讓她有感而發：「真的每個人適合的方式不一樣，大家要先了解自己的身體，循序漸進。」(影劇 / 2021-12-10 21:57),,0
ettoday,鳳梨自曝曾被同儕霸凌！ 「結局反轉」網一看全氣炸：秒飆髒話,https://www.ettoday.net/news/20211210/2143599.htm,2021-12-10 21:54,網紅鳳梨（吳泓逸）因網路直播爆紅，憑充滿台味的搞笑風格累積高人氣，不時透過社群平台分享生活，一舉一動都受到外界關注，沒想到外型看似凶狠的他，日前自曝學生時期曾遭同儕霸凌，會被指指點點、甚至被肢體碰撞，而他被霸凌的原因讓網友一聽都氣炸。(影劇 / 2021-12-10 21:54),,0
ettoday,反骨琳妲「脫褲瞬間被拍」！ 火辣蜜桃臀全看光…網：我衝動了,https://www.ettoday.net/news/20211210/2143570.htm,2021-12-10 20:24,YouTuber琳妲（林羿禎）是職棒啦啦隊Rakuten girls成員，同時也加入團體「反骨男孩」，擁有火辣身材和甜美外型，累積高人氣。她近來為個人年曆拍攝一系列火辣寫真，日前PO出一張脫褲美照，美背、蜜桃臀的傲人曲線引來暴動，讓網友受不了直說「辣」！(影劇 / 2021-12-10 20:24),,0
ettoday,蕾菈獲選年度亞洲百大女DJ！ 甜喊「感謝未來老公」告白閃瞎網,https://www.ettoday.net/news/20211209/2142706.htm,2021-12-09 21:44,YouTuber蕾菈（Lyla）擁有中東混血基因，外型神似歌手鄧紫棋打開知名度，在加入「反骨男孩」後人氣持續飆漲，後來更投入DJ行業，往多領域發展。私下常透過社群分享生活的她，日前入圍網站票選的年度百大女DJ，讓她又驚又喜，感性告白一路給自己支持的人。(影劇 / 2021-12-09 21:44),,0
ettoday,《飢餓》單曲發行時間曝！ 峮峮solo「歌聲超反差」收王仁甫關心訊息,https://www.ettoday.net/news/20211209/2142282.htm,2021-12-09 14:31,《飢餓遊戲》播出5周年，5位主持人孫協志、王仁甫、許孟哲、峮峮和豆花妹在完成「八西之旅」自行車挑戰後，製作單位祭出錄製專屬單曲為犒賞，製作人表示單曲將於12月19日上線，敬請期待。主持群中峮峮是唯一非歌手出身，她接受《ETtoday》專訪，談到能參與錄音，還是覺得不可思議，直呼：「想說怎麼會出單曲！其他人是歌手，難道我是負責伴舞、幫大家加油的？」(影劇 / 2021-12-09 14:31),,0
