Source,Title,Link,Date,Summary,Text,Like
ettoday,阿翰曬「大20歲男神」合照　一看他凍齡顏值…網驚：2人一樣大！,https://www.ettoday.net/news/20190922/1540987.htm?from=pctaglist,2019-09-22 22:47,網路紅人阿翰以百變模仿功力走紅，每次PO出新影片都笑翻眾人，近日他上傳和「不老男神」林志穎合照。兩人相差近20歲，但林志穎依舊超凍齡，不少網友看了都驚呼：「嚇死，太年輕了吧！」,,0
ettoday,「阿翰po影片」惹怒國防部！拍莒光園地「兇學妹」遭批污衊軍人　要求下架道歉否則提告,https://www.ettoday.net/news/20190806/1506799.htm?from=pctaglist,2019-08-06 12:11,網路紅人阿翰日前拍攝一支「莒光園地 代價」影片，惹怒了國防部，發聲明痛批影片污衊軍人，要求下架道歉，否則將提告。,,0
ettoday,阿翰班草同學10年前「激似炎亞綸」！　現況曝光網暴動,https://www.ettoday.net/news/20190120/1360965.htm?from=pctaglist,2019-01-20 09:30,網路紅人阿翰以百變模仿功力受到矚目，近來各大社群流行起「十年挑戰」，他也在專頁分享自己10年前的青澀模樣，他在國中畢業典禮當天找了班草合照，他笑說當時的自己「真的很勇敢」，照片一曝光便引起網友熱烈討論，留言9成都在要班草的聯絡方式，也有許多人驚喊：「這是炎亞綸吧！」,,0
ettoday,【廣編】麥香挺你的青春回憶！6人組隊超友力　掃除障礙瘋搶萬元獎金！,https://www.ettoday.net/news/20181031/1294657.htm?from=pctaglist,2018-10-31 14:39,科技日益進步，但高中生的友情互動不會退步! 不管時代如何變遷，學生生活中最值得回憶的，還是與朋友『群聚歡樂，分享友情』的珍貴時光！國內知名飲料品牌麥香，為鼓勵高中生與朋友創造獨一無二之青春回憶，於10月27日(六)，與淡水高級商工職業學校一起舉辦大型闖關活動「2018麥香超友力擂台賽」。,,0
ettoday,阿翰純日文翻唱《犬夜叉》太震撼！　美聲驚艷14萬人：傑尼斯偶像水準,https://www.ettoday.net/news/20181012/1279416.htm?from=pctaglist,2018-10-12 12:26,網路紅人阿翰以百變模仿功力受到矚目，近日他難得開金口，和YouTuber滴妹合唱《犬夜叉》動漫主題曲《change the world》，兩人沒有改編中文歌詞，唱的就是原版日文歌詞，不只發音標準，阿翰的歌喉更是好的令人驚艷，唱起日文來甚至還有日本傑尼斯偶像的味道，「阿翰整個震撼到我！」,,0
ettoday,阿翰回母校「花蓮女中」演講　自稱「花美男」原因笑翻網,https://www.ettoday.net/news/20180714/1212866.htm?from=pctaglist,2018-07-14 18:32,網路紅人阿翰以百變模仿功力受到矚目，因在影片中扮演各種角色，包括法拉利姐婷婷、漫研社長凜月等，深受粉絲喜愛，在臉書更擁有逾65萬人追蹤。他近日在IG分享回到自己母校演講的照片，但卻讓不少人非常驚訝，他的母校竟然是花蓮女中。,,0
ettoday,阿翰爆紅零收入吃老本　拒絕賺錢業配有原因,https://www.ettoday.net/news/20170919/1014282.htm?from=pctaglist,2017-09-19 17:28,"網紅阿翰以1支〈校慶突如其來的驚喜〉影片，精準模仿國中女生做作神態爆紅，點閱率達380萬，粉絲團1日從2,000人成長到20萬人（至今45萬），是台灣當今勢頭最猛的網紅，連許瑋甯、魏如萱等人都模仿，還被蔡依林轉貼分享。阿翰獨家向本刊透露，原來「薯條妹」是真有其人，而且長得很像他自己。",,0
ettoday,喝完「大冰奶」真的被搭訕！　正妹網友跪謝阿翰,https://www.ettoday.net/news/20170913/1010275.htm?from=pctaglist,2017-09-13 19:52,天后蔡依林日前開直播與網友互動，遭到網紅阿翰亂入，以「算命阿姨」身分對談，強調想要桃花圓滿，隔天早上喝「大冰奶」，下午就會有男友，「大冰奶」桃花哏一夕爆紅，沒想到真的有網友私訊阿翰：「昨天早上大喝大冰奶，傍晚就在西門町被搭訕惹！」,,0
ettoday,算命阿姨好準！　愛賴床法鬥Hero上輩子竟然是「炸彈」,https://www.ettoday.net/news/20170911/1008392.htm?from=pctaglist,2017-09-11 17:42,法鬥Hero睡得正舒服，突然被「怪阿姨」算命，還算出上輩子是「炸彈」？原來媽媽看了「阿翰PO影片」算命的影片覺得很搞笑，又看到Hero像隻小豬一樣在地上睡覺，覺得實在是太「欠抱」了，而Hero也配合得很好，果然一邊發出「拱拱拱」的小豬叫一邊討抱抱，實在是太可愛了！,,0
ettoday,阿翰拍片問：阿嬤你是不是鬼？　背景突傳「叩叩」詭異兩聲,https://www.ettoday.net/news/20170905/1004646.htm?from=pctaglist,2017-09-05 14:19,知名粉絲專頁「阿翰po影片」因為阿翰的百變模仿功力爆紅，追蹤人數直線上升，目前已有36萬名粉絲，近日他的「算命阿姨」系列影片受到天后蔡依林青睞，沒想到最新一支內容談到「鬼」的影片中，竟出現詭異「叩叩」聲，連他自己都不知道聲音來源，讓人直冒雞皮疙瘩。,,0
ettoday,阿翰神還原勢利房東　租金22K「不吃不喝就可以租」,https://www.ettoday.net/news/20170811/987148.htm?from=pctaglist,2017-08-11 18:59,知名粉絲專頁「阿翰po影片」因為阿翰的百變模仿功力爆紅，追蹤人數直線上升，11日再度推出新角色「房東阿姨」，神還原勢利房東嘴臉，「房租喔…2萬2啦，你們年輕人底薪，不吃不喝就可以租，你不要還很多人排…」超寫實台詞笑翻網友，也引發熱烈討論。,,0
ettoday,阿翰影片一句「帥到分手」　釣出本尊周湯豪！,https://www.ettoday.net/news/20170809/985002.htm?from=pctaglist,2017-08-09 10:38,知名粉絲專頁「阿翰po影片」因為阿翰的百變模仿功力爆紅，追蹤人數直線上升，目前已有17萬名粉絲，最新影片則是他模仿被女友甩掉的情傷男，還套用K歌金曲《帥到分手》，「她給我說帥到分手，拿周湯豪的歌來搪塞是不是？」沒想到引來原唱周湯豪回應啦！,,0
ettoday,「阿翰po影片」其實有2人！解密莊詠婕、陳志豪到底是誰,https://www.ettoday.net/news/20170728/976963.htm?from=pctaglist,2017-07-28 20:33,「阿翰po影片」因模仿「法拉利姐」張婷婷、國中妹等影片爆紅，不僅吸引上百萬人次觀看，就連KID（林柏昇）也忍不住喊「完了！我把你影片全看完了」。不過，該專頁近日接受媒體訪問，不僅坦言他們其實是「雙人組」，也分享出2人合作的方式及未來方向，盼之後能夠跳脫「模仿」的框架。,,0
ettoday,阿翰模仿房東阿姨被指「撞臉蔡壁如」！　氣炸回嗆：我不是檳榔餒,https://www.ettoday.net/news/20211112/2122027.htm?from=pctaglist,2021-11-12 00:20,網路YouTuber阿翰以百變模仿功力走紅，創作出眾多角色，例如阮月嬌、凜月、房東阿姨等，每次PO出新影片都會引起粉絲高度關注，趣味的內容也帶來許多歡笑。近日她曬出一系列「房東阿姨」的舊照，被指出撞臉民眾黨立委蔡壁如，他隨後激動回應，讓不少網友笑翻。,,0
ettoday,阿翰問10月教召「用什麼姿態回營」　網友敲碗：可柔學姐,https://www.ettoday.net/news/20210903/2071588.htm?from=pctaglist,2021-09-03 22:08,網紅阿翰在93軍人節這天，在臉書上發文詢問，10月將會回營教召一周，實在不知道 「要用什麼姿態回去營區」。此文一出引發許多網友的熱烈討論，敲碗說應該以經典角色「可柔學姐」的姿態教召回營。,,0
ettoday,阿翰「人臉辨識9宮格」99％撞臉陶晶瑩！她一看怒了　網笑噴：雙胞胎,https://www.ettoday.net/news/20210830/2067484.htm?from=pctaglist,2021-08-30 09:57,不少網站為了使用者的帳戶安全，都會設置「我不是機器人」的驗證程序，要你選出符合問題的圖片，才算是過關，但這種驗證方式也常被惡搞，網路上瘋傳一張「請選出以下含有凜月的圖片」，凜月是阿翰反串的角色之一，但仔細一看其中幾張圖是藝人陶晶瑩，和阿翰扮演的凜月幾乎是雙胞胎臉，連阿翰本人都認不出來，也讓陶晶瑩一秒被惹怒。,,0
ettoday,網紅YouTuber阿翰突認「交女友」　合照神秘長髮女3萬人激動了！,https://www.ettoday.net/news/20210502/1972906.htm?from=pctaglist,2021-05-02 21:56,網路YouTuber阿翰以百變模仿功力走紅，創作出眾多角色，例如阮月嬌、凜月等，每次PO出新影片都會引起粉絲高度關注，趣味的內容也帶來許多歡笑，時常會在Instagram分享日常生活的他，1日突然曬出與一名長髮女子的合照，還附上了女友的字眼，讓許多鐵粉驚訝直呼「阿翰交女友了」，引起熱議。,,0
ettoday,學生妹低頭滑手機搶演唱會門票　吼路人「誰在那邊吵」抬頭一看竟是歌手本人！,https://www.ettoday.net/news/20200807/1779650.htm?from=pctaglist,2020-08-07 18:30,鼓鼓將在11月21日於台北流行音樂中心舉辦大型售票巡演「聽到請回答Connecting…」，邀請YouTuber「欸你這週要幹嘛」與阿翰，分別飾演高中生以及婆媽助陣拍攝搞笑影片。,,0
ettoday,二伯沙發恩愛露辣腿！4個月大蔡波能「撞臉阿翰」搶鏡　網刷一排：超像,https://www.ettoday.net/news/20200807/1779029.htm?from=pctaglist,2020-08-07 07:29,二伯和蔡阿嘎結婚後陸續生下2個兒子蔡桃貴、蔡波能，不過在產後她積極運動，加上家庭、工作兩邊同時忙碌，身材很快恢復成孕前模樣。近日她分享和蔡桃貴在家時的午後時光，母子倆在沙發上摟摟抱抱的場面意外辣爆！,,0
ettoday,影／「月嬌」阿翰買三倍券巧遇「正常膚色」蘇貞昌！爆笑問：你是不是上過電視,https://www.ettoday.net/news/20200715/1760725.htm?from=pctaglist,2020-07-15 00:39,三倍券15日正式上路！行政院長蘇貞昌這次找來知名Youtuber阿翰推廣三倍券，阿翰在影片中一人分飾多角，最後由「月嬌」阿翰巧遇預告三倍券的蘇貞昌。阿翰在IG貼文中大開蘇貞昌「臉太白」玩笑，要大家全民美白向院長看齊。,,0
ettoday,千千混血遭霸凌「死泰國人」！3 YouTuber受辱血淚史　阿滴花10年擺脫惡夢,https://www.ettoday.net/news/20200129/1600314.htm?from=pctaglist,2020-01-29 08:00,「反霸凌」議題在這幾年受到高度重視，霸凌事件無所不在，從公眾人物到市井小民都可能是受害者，同時也可能是加害人。教育部前段時間推出「#你的標籤我的驕傲」專案，許多KOL響應，以下摘錄3位YouTuber的親身經歷，透過他們的故事分享，讓自己學著做一個溫暖的人。,,0
ettoday,阿翰111投票曝關鍵數字！　出賣「美女露球照」…5.2萬人暴動：一定回家投,https://www.ettoday.net/news/20200110/1622416.htm?from=pctaglist,2020-01-10 15:43,2020總統大選進入最後倒數階段，不只各政黨進行衝刺拉票，有不少支持者也轉貼網路訊息幫忙催票。網紅阿翰在最後一天也發文呼籲網友要回家投票，使出「美女出浴」的殺手鐧，PO出一張美女只圍著浴巾泡湯的照片，照片一出立刻吸引5.2萬人按讚捧場，直呼：「我一定投～～」,,0
ettoday,出發神戶捕獲野生澟月！邂逅女神再抽萬點Peach點數,https://www.ettoday.net/news/20200104/1614634.htm?from=pctaglist,2020-01-04 09:00,素人模仿界的超強網紅阿翰以喜愛日本動漫文化的澟月一角受到樂桃航空與神戶觀光局的提名，成為「神戶觀光促進主任候選人」，前往傳說中充滿「大人味」的時尚神戶拍攝「神戶神救援 澟月大改造」影片，要在日本地陪宮森先生的帶領之下，進化為「澟月PLUS」！,,0
ettoday,澟月現身！《想見你》驚見人氣YouTuber阿翰　柯佳嬿忍笑：太搶戲了,https://www.ettoday.net/news/20191207/1596604.htm?from=pctaglist,2019-12-07 15:05,人氣YouTuber阿翰現身客串中視、衛視中文台《想見你》，而且還是反串，角色正是他之前所模仿極受歡迎的「澟月」，頭上戴著蝴蝶結髮圈，裝可愛的表情有點搞笑，連柯佳嬿都難以抵擋，「我們其實應該要很嚴肅的，但他實在太可愛、太有喜感了，我必須加倍努力才有辦法不分心，實在太搶戲了。」,,0
ettoday,阿翰「爆瘦成V臉」變型男！　全身照曝光…網看呆：變太帥了吧,https://www.ettoday.net/news/20191207/1596299.htm?from=pctaglist,2019-12-07 00:16,網路紅人阿翰以百變模仿功力走紅，每次PO出新影片都笑翻眾人，他6日上傳了一張近照，與過去的造型、形象相差甚遠，爆瘦相當多，讓不少網友大讚「變得太帥了吧」、「型男」、「瘦下來好好看」，還有人說他撞臉男星許光漢。,,0
ettoday,阿翰曬「大20歲男神」合照　一看他凍齡顏值…網驚：2人一樣大！,https://www.ettoday.net/news/20190922/1540987.htm?from=pctaglist,2019-09-22 22:47,網路紅人阿翰以百變模仿功力走紅，每次PO出新影片都笑翻眾人，近日他上傳和「不老男神」林志穎合照。兩人相差近20歲，但林志穎依舊超凍齡，不少網友看了都驚呼：「嚇死，太年輕了吧！」,,0
ettoday,網紅阿翰分飾5角「直接Line聊」演活超強業務員　關鍵一句話攻破心房,https://www.ettoday.net/news/20190812/1504416.htm?from=pctaglist,2019-08-12 17:28,知名網紅阿翰最近一人分飾多角，扮演超強業務員，沿路瘋狂鎖定目標客戶碎碎念，下一秒又飾演消費者，搞笑分享使用心得。「家瑜！我們晚上line聊，直接line聊。」、「家瑜！你還記得我嗎？」經典開場白與熟悉情境，大家一定不陌生，差別只是阿翰多一句撩妹台詞：「什麼時候跟我去環遊世界？」,,0
ettoday,網紅偽莒光園地挨告…疾管署委託製作的　國防部：經溝通後不提告,https://www.ettoday.net/news/20190806/1507324.htm?from=pctaglist,2019-08-06 20:43,網紅「阿翰PO影片」模仿「莒光園地」的影片，被國防部認為有汙衊軍人形象，要求下架否則提告。不過，6日晚間，國防部發言人史順文表示，雙方經過溝通後，將不提告。,,0
ettoday,網紅阿翰拍片惡搞「莒光園地」國防部喊告　疾管署出面道歉,https://www.ettoday.net/news/20190806/1507327.htm?from=pctaglist,2019-08-06 20:23,某自稱最大第三勢力立委參選人 7 月底轉貼網紅阿翰宣導愛滋篩檢的影片，批：「同運入侵中小學」、「連國軍也染指」，被網友指正這並非真正的莒光園地後，硬拗：「模仿誤導更可惡。」隔週阿翰的影片引發國防部關注，發出新聞稿嚴正譴責，要求道歉並下架影片，否則不排除提告。影片立即被下架，也有人出面道歉。 但那人不是網紅阿翰，而是疾管署副署長。,,0
